id,food_id,tag_id,confidence,source,created_at,updated_at
24,8,17,0.8,LLM,2025-11-21 21:27:19.782281,2025-11-21 21:27:19.782281
25,9,9,0.5,LLM,2025-11-21 21:27:19.782282,2025-11-21 21:27:19.782283
26,9,2,0.4,LLM,2025-11-21 21:27:19.782284,2025-11-21 21:27:19.782284
27,9,17,0.8,LLM,2025-11-21 21:27:19.782285,2025-11-21 21:27:19.782286
28,10,1,0.6,LLM,2025-11-21 21:27:19.782287,2025-11-21 21:27:19.782287
29,10,4,0.5,LLM,2025-11-21 21:27:19.782288,2025-11-21 21:27:19.782289
30,10,22,0.7,LLM,2025-11-21 21:27:19.782289,2025-11-21 21:27:19.782290
31,11,1,0.8,LLM,2025-11-21 21:27:33.510415,2025-11-21 21:27:33.510428
32,11,19,0.7,LLM,2025-11-21 21:27:33.510430,2025-11-21 21:27:33.510430
33,12,6,0.85,LLM,2025-11-21 21:27:33.510431,2025-11-21 21:27:33.510432
34,12,26,0.9,LLM,2025-11-21 21:27:33.510433,2025-11-21 21:27:33.510434
35,12,3,0.95,LLM,2025-11-21 21:27:33.510435,2025-11-21 21:27:33.510435
36,13,9,0.75,LLM,2025-11-21 21:27:33.510436,2025-11-21 21:27:33.510437
37,13,29,0.65,LLM,2025-11-21 21:27:33.510438,2025-11-21 21:27:33.510438
38,14,18,0.6,LLM,2025-11-21 21:27:33.510439,2025-11-21 21:27:33.510440
39,14,2,0.5,LLM,2025-11-21 21:27:33.510441,2025-11-21 21:27:33.510442
40,14,3,0.8,LLM,2025-11-21 21:27:33.510443,2025-11-21 21:27:33.510443
41,15,32,0.7,LLM,2025-11-21 21:27:33.510444,2025-11-21 21:27:33.510445
42,15,4,0.55,LLM,2025-11-21 21:27:33.510446,2025-11-21 21:27:33.510446
43,15,22,0.9,LLM,2025-11-21 21:27:33.510447,2025-11-21 21:27:33.510448
44,16,1,0.8,LLM,2025-11-21 21:27:52.295352,2025-11-21 21:27:52.295361
45,16,9,0.7,LLM,2025-11-21 21:27:52.295362,2025-11-21 21:27:52.295363
46,16,2,0.85,LLM,2025-11-21 21:27:52.295364,2025-11-21 21:27:52.295365
47,16,3,0.6,LLM,2025-11-21 21:27:52.295366,2025-11-21 21:27:52.295367
48,17,39,0.75,LLM,2025-11-21 21:27:52.295367,2025-11-21 21:27:52.295368
49,17,2,0.9,LLM,2025-11-21 21:27:52.295369,2025-11-21 21:27:52.295370
50,18,6,0.8,LLM,2025-11-21 21:27:52.295370,2025-11-21 21:27:52.295371
51,18,2,0.85,LLM,2025-11-21 21:27:52.295372,2025-11-21 21:27:52.295373
52,18,22,0.9,LLM,2025-11-21 21:27:52.295374,2025-11-21 21:27:52.295374
53,18,3,0.8,LLM,2025-11-21 21:27:52.295375,2025-11-21 21:27:52.295376
54,19,1,0.7,LLM,2025-11-21 21:27:52.295376,2025-11-21 21:27:52.295377
55,19,6,0.65,LLM,2025-11-21 21:27:52.295378,2025-11-21 21:27:52.295378
56,19,26,0.8,LLM,2025-11-21 21:27:52.295379,2025-11-21 21:27:52.295380
57,19,22,0.9,LLM,2025-11-21 21:27:52.295380,2025-11-21 21:27:52.295381
58,20,6,0.8,LLM,2025-11-21 21:27:52.295382,2025-11-21 21:27:52.295383
59,20,32,0.75,LLM,2025-11-21 21:27:52.295384,2025-11-21 21:27:52.295384
60,20,4,0.85,LLM,2025-11-21 21:27:52.295385,2025-11-21 21:27:52.295386
61,20,22,0.9,LLM,2025-11-21 21:27:52.295387,2025-11-21 21:27:52.295387
62,21,6,0.8,LLM,2025-11-21 21:28:08.038458,2025-11-21 21:28:08.038468
63,21,2,0.7,LLM,2025-11-21 21:28:08.038469,2025-11-21 21:28:08.038470
64,21,22,0.6,LLM,2025-11-21 21:28:08.038471,2025-11-21 21:28:08.038471
65,22,9,0.85,LLM,2025-11-21 21:28:08.038472,2025-11-21 21:28:08.038473
66,22,4,0.75,LLM,2025-11-21 21:28:08.038474,2025-11-21 21:28:08.038475
67,22,22,0.65,LLM,2025-11-21 21:28:08.038476,2025-11-21 21:28:08.038476
68,23,32,0.8,LLM,2025-11-21 21:28:08.038477,2025-11-21 21:28:08.038478
69,23,2,0.7,LLM,2025-11-21 21:28:08.038479,2025-11-21 21:28:08.038480
70,23,22,0.6,LLM,2025-11-21 21:28:08.038480,2025-11-21 21:28:08.038481
71,24,39,0.5,LLM,2025-11-21 21:28:08.038482,2025-11-21 21:28:08.038482
72,24,26,0.55,LLM,2025-11-21 21:28:08.038483,2025-11-21 21:28:08.038484
73,24,3,0.45,LLM,2025-11-21 21:28:08.038485,2025-11-21 21:28:08.038485
74,25,18,0.6,LLM,2025-11-21 21:28:08.038486,2025-11-21 21:28:08.038487
75,25,2,0.55,LLM,2025-11-21 21:28:08.038487,2025-11-21 21:28:08.038488
76,25,3,0.4,LLM,2025-11-21 21:28:08.038489,2025-11-21 21:28:08.038490
77,26,1,0.8,LLM,2025-11-21 21:28:21.849388,2025-11-21 21:28:21.849399
78,26,7,0.85,LLM,2025-11-21 21:28:21.849401,2025-11-21 21:28:21.849401
79,26,5,0.7,LLM,2025-11-21 21:28:21.849402,2025-11-21 21:28:21.849403
80,27,58,0.75,LLM,2025-11-21 21:28:21.849404,2025-11-21 21:28:21.849405
81,27,2,0.65,LLM,2025-11-21 21:28:21.849405,2025-11-21 21:28:21.849406
82,27,17,0.9,LLM,2025-11-21 21:28:21.849407,2025-11-21 21:28:21.849408
83,28,1,0.8,LLM,2025-11-21 21:28:21.849409,2025-11-21 21:28:21.849409
84,28,7,0.85,LLM,2025-11-21 21:28:21.849410,2025-11-21 21:28:21.849411
85,28,17,0.7,LLM,2025-11-21 21:28:21.849411,2025-11-21 21:28:21.849412
86,29,6,0.8,LLM,2025-11-21 21:28:21.849413,2025-11-21 21:28:21.849414
87,29,2,0.75,LLM,2025-11-21 21:28:21.849415,2025-11-21 21:28:21.849415
88,29,17,0.6,LLM,2025-11-21 21:28:21.849416,2025-11-21 21:28:21.849417
89,30,9,0.7,LLM,2025-11-21 21:28:21.849417,2025-11-21 21:28:21.849418
90,30,2,0.65,LLM,2025-11-21 21:28:21.849419,2025-11-21 21:28:21.849420
91,30,17,0.8,LLM,2025-11-21 21:28:21.849420,2025-11-21 21:28:21.849421
92,31,32,0.8,LLM,2025-11-21 21:28:36.682872,2025-11-21 21:28:36.682881
93,31,64,0.85,LLM,2025-11-21 21:28:36.682883,2025-11-21 21:28:36.682883
94,31,17,0.9,LLM,2025-11-21 21:28:36.682884,2025-11-21 21:28:36.682885
95,32,9,0.7,LLM,2025-11-21 21:28:36.682886,2025-11-21 21:28:36.682886
96,32,4,0.75,LLM,2025-11-21 21:28:36.682887,2025-11-21 21:28:36.682888
97,32,17,0.9,LLM,2025-11-21 21:28:36.682889,2025-11-21 21:28:36.682889
98,33,6,0.85,LLM,2025-11-21 21:28:36.682890,2025-11-21 21:28:36.682891
99,33,2,0.8,LLM,2025-11-21 21:28:36.682892,2025-11-21 21:28:36.682892
100,33,22,0.6,LLM,2025-11-21 21:28:36.682893,2025-11-21 21:28:36.682894
101,33,3,0.4,LLM,2025-11-21 21:28:36.682895,2025-11-21 21:28:36.682895
102,34,72,0.8,LLM,2025-11-21 21:28:36.682896,2025-11-21 21:28:36.682897
103,34,64,0.9,LLM,2025-11-21 21:28:36.682897,2025-11-21 21:28:36.682898
104,34,17,0.9,LLM,2025-11-21 21:28:36.682899,2025-11-21 21:28:36.682899
105,35,1,0.65,LLM,2025-11-21 21:28:36.682900,2025-11-21 21:28:36.682901
106,35,26,0.7,LLM,2025-11-21 21:28:36.682902,2025-11-21 21:28:36.682902
107,35,22,0.5,LLM,2025-11-21 21:28:36.682903,2025-11-21 21:28:36.682904
108,35,5,0.3,LLM,2025-11-21 21:28:36.682904,2025-11-21 21:28:36.682905
109,36,9,0.8,LLM,2025-11-21 21:28:51.466026,2025-11-21 21:28:51.466039
110,36,2,0.85,LLM,2025-11-21 21:28:51.466040,2025-11-21 21:28:51.466041
111,36,17,0.9,LLM,2025-11-21 21:28:51.466042,2025-11-21 21:28:51.466043
112,37,1,0.7,LLM,2025-11-21 21:28:51.466044,2025-11-21 21:28:51.466044
113,37,19,0.6,LLM,2025-11-21 21:28:51.466046,2025-11-21 21:28:51.466047
114,37,5,0.75,LLM,2025-11-21 21:28:51.466048,2025-11-21 21:28:51.466048
115,38,6,0.65,LLM,2025-11-21 21:28:51.466049,2025-11-21 21:28:51.466050
116,38,19,0.5,LLM,2025-11-21 21:28:51.466051,2025-11-21 21:28:51.466052
117,38,3,0.8,LLM,2025-11-21 21:28:51.466052,2025-11-21 21:28:51.466053
118,39,1,0.55,LLM,2025-11-21 21:28:51.466054,2025-11-21 21:28:51.466055
119,39,19,0.4,LLM,2025-11-21 21:28:51.466056,2025-11-21 21:28:51.466057
120,40,6,0.7,LLM,2025-11-21 21:28:51.466058,2025-11-21 21:28:51.466058
121,40,7,0.6,LLM,2025-11-21 21:28:51.466061,2025-11-21 21:28:51.466061
122,40,3,0.9,LLM,2025-11-21 21:28:51.466062,2025-11-21 21:28:51.466063
123,46,9,0.8,LLM,2025-11-21 21:29:17.678470,2025-11-21 21:29:17.678482
124,46,2,0.85,LLM,2025-11-21 21:29:17.678483,2025-11-21 21:29:17.678484
125,46,8,0.9,LLM,2025-11-21 21:29:17.678485,2025-11-21 21:29:17.678486
126,47,39,0.7,LLM,2025-11-21 21:29:17.678487,2025-11-21 21:29:17.678488
127,47,7,0.75,LLM,2025-11-21 21:29:17.678489,2025-11-21 21:29:17.678489
128,47,8,0.8,LLM,2025-11-21 21:29:17.678490,2025-11-21 21:29:17.678491
129,48,6,0.85,LLM,2025-11-21 21:29:17.678492,2025-11-21 21:29:17.678493
130,48,19,0.9,LLM,2025-11-21 21:29:17.678494,2025-11-21 21:29:17.678495
131,48,3,0.95,LLM,2025-11-21 21:29:17.678496,2025-11-21 21:29:17.678497
132,49,1,0.8,LLM,2025-11-21 21:29:17.678498,2025-11-21 21:29:17.678498
133,49,4,0.75,LLM,2025-11-21 21:29:17.678499,2025-11-21 21:29:17.678500
134,49,5,0.65,LLM,2025-11-21 21:29:17.678501,2025-11-21 21:29:17.678501
135,50,18,0.7,LLM,2025-11-21 21:29:17.678502,2025-11-21 21:29:17.678503
136,50,2,0.8,LLM,2025-11-21 21:29:17.678503,2025-11-21 21:29:17.678504
137,50,22,0.85,LLM,2025-11-21 21:29:17.678505,2025-11-21 21:29:17.678505
138,51,1,0.8,LLM,2025-11-21 21:29:33.414587,2025-11-21 21:29:33.414598
139,51,7,0.85,LLM,2025-11-21 21:29:33.414599,2025-11-21 21:29:33.414600
140,51,100,0.75,LLM,2025-11-21 21:29:33.414601,2025-11-21 21:29:33.414602
141,52,9,0.7,LLM,2025-11-21 21:29:33.414603,2025-11-21 21:29:33.414603
142,52,2,0.65,LLM,2025-11-21 21:29:33.414604,2025-11-21 21:29:33.414605
143,52,3,0.6,LLM,2025-11-21 21:29:33.414606,2025-11-21 21:29:33.414607
144,53,6,0.9,LLM,2025-11-21 21:29:33.414608,2025-11-21 21:29:33.414608
145,53,2,0.85,LLM,2025-11-21 21:29:33.414609,2025-11-21 21:29:33.414610
146,53,22,0.8,LLM,2025-11-21 21:29:33.414611,2025-11-21 21:29:33.414611
147,54,39,0.5,LLM,2025-11-21 21:29:33.414612,2025-11-21 21:29:33.414613
148,54,4,0.55,LLM,2025-11-21 21:29:33.414614,2025-11-21 21:29:33.414614
149,54,5,0.45,LLM,2025-11-21 21:29:33.414615,2025-11-21 21:29:33.414616
150,55,9,0.7,LLM,2025-11-21 21:29:33.414616,2025-11-21 21:29:33.414617
151,55,7,0.65,LLM,2025-11-21 21:29:33.414618,2025-11-21 21:29:33.414619
152,55,17,0.6,LLM,2025-11-21 21:29:33.414619,2025-11-21 21:29:33.414620
153,56,19,0.8,LLM,2025-11-21 21:29:45.397084,2025-11-21 21:29:45.397092
154,56,8,0.85,LLM,2025-11-21 21:29:45.397093,2025-11-21 21:29:45.397094
155,57,4,0.9,LLM,2025-11-21 21:29:45.397095,2025-11-21 21:29:45.397096
156,57,8,0.75,LLM,2025-11-21 21:29:45.397097,2025-11-21 21:29:45.397097
157,58,3,0.95,LLM,2025-11-21 21:29:45.397098,2025-11-21 21:29:45.397099
158,58,6,0.9,LLM,2025-11-21 21:29:45.397100,2025-11-21 21:29:45.397100
159,59,7,0.7,LLM,2025-11-21 21:29:45.397101,2025-11-21 21:29:45.397102
160,59,17,0.65,LLM,2025-11-21 21:29:45.397103,2025-11-21 21:29:45.397104
161,60,18,0.85,LLM,2025-11-21 21:29:45.397104,2025-11-21 21:29:45.397105
162,60,17,0.8,LLM,2025-11-21 21:29:45.397106,2025-11-21 21:29:45.397106
163,61,6,0.8,LLM,2025-11-21 21:29:59.630580,2025-11-21 21:29:59.630589
164,61,2,0.85,LLM,2025-11-21 21:29:59.630590,2025-11-21 21:29:59.630591
165,61,3,0.95,LLM,2025-11-21 21:29:59.630592,2025-11-21 21:29:59.630592
166,62,19,0.9,LLM,2025-11-21 21:29:59.630593,2025-11-21 21:29:59.630594
167,62,3,0.95,LLM,2025-11-21 21:29:59.630595,2025-11-21 21:29:59.630595
168,63,9,0.75,LLM,2025-11-21 21:29:59.630596,2025-11-21 21:29:59.630597
169,63,2,0.8,LLM,2025-11-21 21:29:59.630598,2025-11-21 21:29:59.630599
170,63,3,0.95,LLM,2025-11-21 21:29:59.630600,2025-11-21 21:29:59.630601
171,64,18,0.7,LLM,2025-11-21 21:29:59.630601,2025-11-21 21:29:59.630602
172,64,19,0.65,LLM,2025-11-21 21:29:59.630603,2025-11-21 21:29:59.630604
173,64,17,0.8,LLM,2025-11-21 21:29:59.630605,2025-11-21 21:29:59.630605
174,65,125,0.6,LLM,2025-11-21 21:29:59.630606,2025-11-21 21:29:59.630607
175,65,5,0.5,LLM,2025-11-21 21:29:59.630608,2025-11-21 21:29:59.630609
176,66,127,0.99,LLM,2025-11-21 21:30:11.811416,2025-11-21 21:30:11.811425
177,66,5,0.8,LLM,2025-11-21 21:30:11.811427,2025-11-21 21:30:11.811428
178,67,19,0.7,LLM,2025-11-21 21:30:11.811428,2025-11-21 21:30:11.811429
179,67,3,0.6,LLM,2025-11-21 21:30:11.811430,2025-11-21 21:30:11.811430
180,68,2,0.85,LLM,2025-11-21 21:30:11.811431,2025-11-21 21:30:11.811432
181,68,9,0.75,LLM,2025-11-21 21:30:11.811433,2025-11-21 21:30:11.811434
182,69,32,0.65,LLM,2025-11-21 21:30:11.811435,2025-11-21 21:30:11.811435
183,69,17,0.55,LLM,2025-11-21 21:30:11.811436,2025-11-21 21:30:11.811437
184,70,135,0.98,LLM,2025-11-21 21:30:11.811438,2025-11-21 21:30:11.811438
185,70,11,0.8,LLM,2025-11-21 21:30:11.811439,2025-11-21 21:30:11.811440
186,71,32,0.8,LLM,2025-11-21 21:30:28.304364,2025-11-21 21:30:28.304374
187,71,2,0.85,LLM,2025-11-21 21:30:28.304375,2025-11-21 21:30:28.304376
188,71,3,0.7,LLM,2025-11-21 21:30:28.304377,2025-11-21 21:30:28.304378
189,72,1,0.75,LLM,2025-11-21 21:30:28.304379,2025-11-21 21:30:28.304380
190,72,19,0.6,LLM,2025-11-21 21:30:28.304380,2025-11-21 21:30:28.304381
191,72,5,0.65,LLM,2025-11-21 21:30:28.304382,2025-11-21 21:30:28.304383
192,73,6,0.85,LLM,2025-11-21 21:30:28.304384,2025-11-21 21:30:28.304384
193,73,7,0.8,LLM,2025-11-21 21:30:28.304385,2025-11-21 21:30:28.304386
194,73,127,0.5,LLM,2025-11-21 21:30:28.304387,2025-11-21 21:30:28.304387
195,74,9,0.75,LLM,2025-11-21 21:30:28.304388,2025-11-21 21:30:28.304389
196,74,26,0.7,LLM,2025-11-21 21:30:28.304390,2025-11-21 21:30:28.304390
197,74,11,0.55,LLM,2025-11-21 21:30:28.304391,2025-11-21 21:30:28.304392
198,75,39,0.65,LLM,2025-11-21 21:30:28.304392,2025-11-21 21:30:28.304393
199,75,150,0.6,LLM,2025-11-21 21:30:28.304394,2025-11-21 21:30:28.304394
200,75,8,0.55,LLM,2025-11-21 21:30:28.304395,2025-11-21 21:30:28.304396
201,76,1,0.8,LLM,2025-11-21 21:30:51.545232,2025-11-21 21:30:51.545239
202,76,4,0.85,LLM,2025-11-21 21:30:51.545241,2025-11-21 21:30:51.545241
203,76,5,0.01,LLM,2025-11-21 21:30:51.545242,2025-11-21 21:30:51.545243
204,76,11,0.7,LLM,2025-11-21 21:30:51.545244,2025-11-21 21:30:51.545245
205,76,29,0.6,LLM,2025-11-21 21:30:51.545245,2025-11-21 21:30:51.545246
206,77,157,0.75,LLM,2025-11-21 21:30:51.545247,2025-11-21 21:30:51.545248
207,77,7,0.9,LLM,2025-11-21 21:30:51.545249,2025-11-21 21:30:51.545249
208,77,3,0.05,LLM,2025-11-21 21:30:51.545250,2025-11-21 21:30:51.545251
209,77,11,0.65,LLM,2025-11-21 21:30:51.545252,2025-11-21 21:30:51.545253
210,77,160,0.7,LLM,2025-11-21 21:30:51.545254,2025-11-21 21:30:51.545255
211,78,18,0.5,LLM,2025-11-21 21:30:51.545255,2025-11-21 21:30:51.545256
212,78,19,0.55,LLM,2025-11-21 21:30:51.545257,2025-11-21 21:30:51.545257
213,78,17,0.4,LLM,2025-11-21 21:30:51.545258,2025-11-21 21:30:51.545259
214,78,11,0.45,LLM,2025-11-21 21:30:51.545259,2025-11-21 21:30:51.545260
215,78,164,0.35,LLM,2025-11-21 21:30:51.545261,2025-11-21 21:30:51.545261
216,79,72,0.65,LLM,2025-11-21 21:30:51.545262,2025-11-21 21:30:51.545263
217,79,64,0.9,LLM,2025-11-21 21:30:51.545264,2025-11-21 21:30:51.545264
218,79,11,0.7,LLM,2025-11-21 21:30:51.545265,2025-11-21 21:30:51.545266
219,79,167,0.55,LLM,2025-11-21 21:30:51.545266,2025-11-21 21:30:51.545267
220,80,6,0.5,LLM,2025-11-21 21:30:51.545268,2025-11-21 21:30:51.545269
221,80,64,0.8,LLM,2025-11-21 21:30:51.545269,2025-11-21 21:30:51.545270
222,80,11,0.65,LLM,2025-11-21 21:30:51.545271,2025-11-21 21:30:51.545271
223,80,169,0.4,LLM,2025-11-21 21:30:51.545272,2025-11-21 21:30:51.545273
224,81,6,0.8,LLM,2025-11-21 21:31:04.958294,2025-11-21 21:31:04.958301
225,81,26,0.85,LLM,2025-11-21 21:31:04.958303,2025-11-21 21:31:04.958303
226,81,3,0.7,LLM,2025-11-21 21:31:04.958304,2025-11-21 21:31:04.958305
227,82,1,0.9,LLM,2025-11-21 21:31:04.958306,2025-11-21 21:31:04.958307
228,82,2,0.75,LLM,2025-11-21 21:31:04.958308,2025-11-21 21:31:04.958308
229,82,17,0.85,LLM,2025-11-21 21:31:04.958309,2025-11-21 21:31:04.958310
230,83,1,0.9,LLM,2025-11-21 21:31:04.958311,2025-11-21 21:31:04.958311
231,83,7,0.8,LLM,2025-11-21 21:31:04.958312,2025-11-21 21:31:04.958313
232,83,5,0.65,LLM,2025-11-21 21:31:04.958314,2025-11-21 21:31:04.958314
233,84,9,0.75,LLM,2025-11-21 21:31:04.958315,2025-11-21 21:31:04.958316
234,84,2,0.8,LLM,2025-11-21 21:31:04.958316,2025-11-21 21:31:04.958317
235,84,8,0.6,LLM,2025-11-21 21:31:04.958318,2025-11-21 21:31:04.958318
236,85,1,0.9,LLM,2025-11-21 21:31:04.958319,2025-11-21 21:31:04.958320
237,85,4,0.85,LLM,2025-11-21 21:31:04.958321,2025-11-21 21:31:04.958321
238,85,5,0.7,LLM,2025-11-21 21:31:04.958322,2025-11-21 21:31:04.958323
239,86,18,0.8,LLM,2025-11-21 21:31:18.759803,2025-11-21 21:31:18.759814
240,86,19,0.7,LLM,2025-11-21 21:31:18.759816,2025-11-21 21:31:18.759816
241,86,8,0.6,LLM,2025-11-21 21:31:18.759818,2025-11-21 21:31:18.759818
242,87,1,0.85,LLM,2025-11-21 21:31:18.759819,2025-11-21 21:31:18.759820
243,87,4,0.75,LLM,2025-11-21 21:31:18.759821,2025-11-21 21:31:18.759821
244,87,5,0.65,LLM,2025-11-21 21:31:18.759823,2025-11-21 21:31:18.759823
245,88,6,0.75,LLM,2025-11-21 21:31:18.759824,2025-11-21 21:31:18.759825
246,88,64,0.9,LLM,2025-11-21 21:31:18.759826,2025-11-21 21:31:18.759827
247,88,17,0.65,LLM,2025-11-21 21:31:18.759827,2025-11-21 21:31:18.759828
248,89,6,0.8,LLM,2025-11-21 21:31:18.759830,2025-11-21 21:31:18.759831
249,89,2,0.7,LLM,2025-11-21 21:31:18.759832,2025-11-21 21:31:18.759832
250,89,22,0.9,LLM,2025-11-21 21:31:18.759833,2025-11-21 21:31:18.759834
251,90,9,0.75,LLM,2025-11-21 21:31:18.759835,2025-11-21 21:31:18.759835
252,90,26,0.7,LLM,2025-11-21 21:31:18.759836,2025-11-21 21:31:18.759837
253,90,22,0.8,LLM,2025-11-21 21:31:18.759837,2025-11-21 21:31:18.759838
254,91,32,0.8,LLM,2025-11-21 21:31:32.402128,2025-11-21 21:31:32.402140
255,91,2,0.85,LLM,2025-11-21 21:31:32.402141,2025-11-21 21:31:32.402142
256,91,22,0.7,LLM,2025-11-21 21:31:32.402143,2025-11-21 21:31:32.402144
257,91,3,0.6,LLM,2025-11-21 21:31:32.402145,2025-11-21 21:31:32.402145
258,92,6,0.9,LLM,2025-11-21 21:31:32.402146,2025-11-21 21:31:32.402147
259,92,7,0.85,LLM,2025-11-21 21:31:32.402148,2025-11-21 21:31:32.402148
260,92,22,0.75,LLM,2025-11-21 21:31:32.402149,2025-11-21 21:31:32.402150
261,93,9,0.8,LLM,2025-11-21 21:31:32.402151,2025-11-21 21:31:32.402152
262,93,4,0.7,LLM,2025-11-21 21:31:32.402154,2025-11-21 21:31:32.402154
263,93,8,0.65,LLM,2025-11-21 21:31:32.402155,2025-11-21 21:31:32.402156
264,94,39,0.7,LLM,2025-11-21 21:31:32.402157,2025-11-21 21:31:32.402157
265,94,19,0.6,LLM,2025-11-21 21:31:32.402158,2025-11-21 21:31:32.402159
266,94,3,0.8,LLM,2025-11-21 21:31:32.402159,2025-11-21 21:31:32.402160
267,95,205,0.8,LLM,2025-11-21 21:31:32.402161,2025-11-21 21:31:32.402161
268,95,26,0.9,LLM,2025-11-21 21:31:32.402162,2025-11-21 21:31:32.402163
269,95,3,0.75,LLM,2025-11-21 21:31:32.402163,2025-11-21 21:31:32.402164
270,96,6,0.8,LLM,2025-11-21 21:31:46.236526,2025-11-21 21:31:46.236535
271,96,2,0.85,LLM,2025-11-21 21:31:46.236536,2025-11-21 21:31:46.236537
272,96,3,0.9,LLM,2025-11-21 21:31:46.236538,2025-11-21 21:31:46.236539
273,97,39,0.7,LLM,2025-11-21 21:31:46.236540,2025-11-21 21:31:46.236540
274,97,19,0.6,LLM,2025-11-21 21:31:46.236541,2025-11-21 21:31:46.236542
275,98,39,0.75,LLM,2025-11-21 21:31:46.236543,2025-11-21 21:31:46.236544
276,98,19,0.65,LLM,2025-11-21 21:31:46.236544,2025-11-21 21:31:46.236545
277,99,9,0.5,LLM,2025-11-21 21:31:46.236546,2025-11-21 21:31:46.236547
278,99,7,0.4,LLM,2025-11-21 21:31:46.236548,2025-11-21 21:31:46.236548
279,99,17,0.55,LLM,2025-11-21 21:31:46.236549,2025-11-21 21:31:46.236550
280,100,1,0.45,LLM,2025-11-21 21:31:46.236550,2025-11-21 21:31:46.236551
281,100,19,0.35,LLM,2025-11-21 21:31:46.236552,2025-11-21 21:31:46.236553
282,100,5,0.3,LLM,2025-11-21 21:31:46.236554,2025-11-21 21:31:46.236554
283,101,1,0.8,LLM,2025-11-21 21:31:59.669485,2025-11-21 21:31:59.669501
284,101,64,0.9,LLM,2025-11-21 21:31:59.669503,2025-11-21 21:31:59.669504
285,101,5,0.7,LLM,2025-11-21 21:31:59.669505,2025-11-21 21:31:59.669505
286,102,9,0.85,LLM,2025-11-21 21:31:59.669506,2025-11-21 21:31:59.669510
287,102,19,0.75,LLM,2025-11-21 21:31:59.669511,2025-11-21 21:31:59.669512
288,102,17,0.6,LLM,2025-11-21 21:31:59.669513,2025-11-21 21:31:59.669513
289,103,9,0.65,LLM,2025-11-21 21:31:59.669514,2025-11-21 21:31:59.669515
290,103,2,0.8,LLM,2025-11-21 21:31:59.669516,2025-11-21 21:31:59.669517
291,103,8,0.9,LLM,2025-11-21 21:31:59.669517,2025-11-21 21:31:59.669518
292,104,6,0.7,LLM,2025-11-21 21:31:59.669519,2025-11-21 21:31:59.669520
293,104,7,0.5,LLM,2025-11-21 21:31:59.669521,2025-11-21 21:31:59.669522
294,104,17,0.8,LLM,2025-11-21 21:31:59.669522,2025-11-21 21:31:59.669523
295,105,6,0.75,LLM,2025-11-21 21:31:59.669524,2025-11-21 21:31:59.669525
296,105,2,0.8,LLM,2025-11-21 21:31:59.669526,2025-11-21 21:31:59.669526
297,105,3,0.55,LLM,2025-11-21 21:31:59.669527,2025-11-21 21:31:59.669528
298,106,18,0.8,LLM,2025-11-21 21:32:13.141367,2025-11-21 21:32:13.141380
299,106,2,0.85,LLM,2025-11-21 21:32:13.141382,2025-11-21 21:32:13.141383
300,106,3,0.7,LLM,2025-11-21 21:32:13.141384,2025-11-21 21:32:13.141384
301,106,10,0.75,LLM,2025-11-21 21:32:13.141385,2025-11-21 21:32:13.141386
302,107,125,0.95,LLM,2025-11-21 21:32:13.141386,2025-11-21 21:32:13.141387
303,107,19,0.9,LLM,2025-11-21 21:32:13.141388,2025-11-21 21:32:13.141388
