name,m,s
견과류,2.625,0.5175491695067657
경단,2.0,0.7559289460184544
경소탕,1.75,0.4629100498862757
경편,1.75,0.7071067811865476
계란,0.875,0.6408699444616557
계란국,0.75,0.4629100498862757
계란덮밥,1.875,0.3535533905932738
계란만두,2.25,0.4629100498862757
계란말이,1.25,0.8864052604279183
계란밥,0.875,0.6408699444616557
계란빵,3.0,0.0
계란찜,0.875,0.6408699444616557
계란초,1.375,0.5175491695067657
계란튀김,3.5,0.5345224838248488
계란프라이,2.875,0.8345229603962802
고갈비,3.25,0.4629100498862757
고구마,0.75,0.7071067811865476
고구마떡,1.625,0.7440238091428449
고구마밥,0.75,0.7071067811865476
고구마빵,2.75,0.4629100498862757
고구마소주,4.5,0.9258200997725514
고구마케이크,3.75,0.4629100498862757
고구마튀김,3.75,0.4629100498862757
고기,3.25,0.4629100498862757
고기겹빵,3.875,0.3535533905932738
고기국수,2.875,0.3535533905932738
고기만두,3.125,0.3535533905932738
고두밥,1.125,0.3535533905932738
고등어,1.875,0.8345229603962802
고등어구이,1.875,0.8345229603962802
고등어조림,2.25,0.8864052604279183
고량소주,4.5,0.9258200997725514
고량주,4.5,0.9258200997725514
고려엉겅퀴,0.75,0.4629100498862757
고로쇠물,0.25,0.4629100498862757
고로케,4.0,0.0
고명,1.375,0.5175491695067657
고봉밥,1.0,0.0
고사리,0.875,0.6408699444616557
고사릿국,0.875,0.6408699444616557
고지국,1.5,0.5345224838248488
고추,2.625,0.9161253813129043
고추가루,2.75,0.7071067811865476
고추만두,3.0,0.0
고추장,2.75,0.7071067811865476
고추장찌개,3.125,0.3535533905932738
고추튀김,4.0,0.0
고춧가루,2.75,0.7071067811865476
고치떡,1.625,0.7440238091428449
곡차,1.625,1.685018016012207
곤드레밥,1.0,0.0
곤떡,1.625,0.7440238091428449
곤약밥,0.5,0.5345224838248488
골동반,2.5,0.5345224838248488
골뱅이,2.5,0.5345224838248488
골뱅이무침,3.0,0.5345224838248488
골뱅이소면,3.25,0.7071067811865476
곰국,2.375,0.5175491695067657
곰탕,2.375,0.5175491695067657
곱창,4.375,0.5175491695067657
곱창구이,4.375,0.5175491695067657
공갈빵,2.875,0.3535533905932738
공깃밥,0.5,0.5345224838248488
곶감,1.875,0.8345229603962802
과루죽,1.5,0.7559289460184544
과메기,2.75,0.4629100498862757
과일,0.75,0.8864052604279183
과자,3.625,0.5175491695067657
과하주,4.5,0.9258200997725514
괴명떡,1.625,0.7440238091428449
구름떡,1.625,0.7440238091428449
구멍국수,2.0,0.5345224838248488
구선왕도고,2.125,1.1259916264596033
구야시,2.5,1.0690449676496976
구운치킨,3.125,0.6408699444616557
구이,3.0,0.0
구절떡,1.625,0.7440238091428449
구절판,2.25,0.4629100498862757
국,1.25,0.4629100498862757
국묘죽,1.375,0.5175491695067657
국물,1.125,0.3535533905932738
국밥,2.25,0.4629100498862757
국수,2.0,0.5345224838248488
국수발,2.0,0.5345224838248488
국수오리,2.625,0.5175491695067657
국수장국,2.0,0.5345224838248488
국숫발,2.0,0.5345224838248488
국화빵,3.0,0.0
국화차,0.5,0.5345224838248488
군감자,1.125,1.1259916264596033
군고구마,1.0,0.9258200997725514
군대리아,3.375,0.5175491695067657
군만두,3.375,0.5175491695067657
군함말이,2.75,0.4629100498862757
굴,2.375,0.7440238091428449
굴국밥,2.625,0.5175491695067657
굴림만두,2.875,0.3535533905932738
굴비,2.5,0.7559289460184544
귀리,0.875,0.6408699444616557
귀리떡,1.5,0.7559289460184544
귀리밥,0.875,0.6408699444616557
규돈,3.5,0.5345224838248488
규동,3.375,0.5175491695067657
규아상,2.625,1.1877349391654208
귤,0.5,0.5345224838248488
근대떡,1.625,0.7440238091428449
금분탕,1.875,0.3535533905932738
기름떡볶이,4.25,0.4629100498862757
기름밥,3.625,0.5175491695067657
기름사탕,3.75,0.4629100498862757
기무치,2.5,0.5345224838248488
기스면,2.5,0.5345224838248488
기장밥,1.125,0.3535533905932738
김,0.25,0.4629100498862757
김국,1.0,0.0
김말이,2.75,0.8864052604279183
김말이튀김,4.125,0.3535533905932738
김밥,2.25,0.4629100498862757
김밥튀김,4.125,0.3535533905932738
김쌈,0.875,0.6408699444616557
김자반,1.5,0.5345224838248488
김초밥,2.25,0.4629100498862757
김치,2.5,0.5345224838248488
김치김밥,3.0,0.5345224838248488
김치덮밥,3.0,0.5345224838248488
김치떡,2.5,0.5345224838248488
김치라면,4.0,0.7559289460184544
김치만두,3.0,0.5345224838248488
김치말이국수,2.875,0.6408699444616557
김치볶음밥,3.125,0.6408699444616557
김치전,3.0,0.0
김치죽,2.125,0.3535533905932738
김치찌개,3.0,0.5345224838248488
김치찜,2.875,0.3535533905932738
김치피자탕수육,4.5,0.5345224838248488
김칫국,2.125,0.3535533905932738
까까,3.0,0.0
까오팟,3.2857142857142856,0.4879500364742666
깍두기,2.5,0.5345224838248488
깐쇼새우,3.625,0.5175491695067657
깐풍기,4.0,0.0
깨,1.25,0.8864052604279183
깨소금,1.25,0.8864052604279183
깻잎,0.875,0.6408699444616557
깻잎김치,2.375,0.7440238091428449
깻잎떡,1.5,0.7559289460184544
깻잎장아찌,2.375,0.7440238091428449
껌,2.875,1.1259916264596033
꼬막비빔밥,2.75,0.4629100498862757
꼬부랑국수,2.125,0.3535533905932738
꼬장떡,1.625,0.7440238091428449
꼴두국수,2.125,0.3535533905932738
꼼장어,3.0,0.0
꼼장어볶음,3.75,0.4629100498862757
꽁치구이,1.875,0.8345229603962802
꽁치조림,2.25,0.8864052604279183
꽃게탕,2.75,0.4629100498862757
꽈배기,3.625,0.5175491695067657
꾸미,2.375,0.7440238091428449
꿀,2.125,1.1259916264596033
꿀꿀이죽,2.25,0.4629100498862757
꿀떡,2.375,0.5175491695067657
꿀물,1.75,0.7071067811865476
꿀빵,3.25,0.4629100498862757
꿀타래,3.5,0.7559289460184544
꿔바로우,4.25,0.4629100498862757
꿩고기,2.625,0.5175491695067657
꿩탕,2.25,0.4629100498862757
나물,0.875,0.6408699444616557
나박김치,2.0,0.9258200997725514
나시고렝,3.5,0.5345224838248488
나시르막,3.25,1.4880476182856899
낙지,2.375,0.7440238091428449
낙지볶음,3.625,0.5175491695067657
낙지젓,3.0,0.9258200997725514
날김치,2.375,0.7440238091428449
날달걀,0.875,0.6408699444616557
날맥주,4.5,0.9258200997725514
납작만두,3.0,0.5345224838248488
납팔죽,1.375,0.5175491695067657
내장탕,4.0,0.0
냉국,1.375,0.5175491695067657
냉라면,3.375,0.9161253813129043
냉면,2.625,0.5175491695067657
냉콩국,2.375,0.7440238091428449
너비아니,3.125,0.3535533905932738
넙치,1.75,0.7071067811865476
노가리,2.5,0.5345224838248488
노리마키,2.25,0.4629100498862757
녹두,1.625,0.7440238091428449
녹두나화,1.625,0.5175491695067657
녹두밥,1.375,0.7440238091428449
녹두전,2.625,0.7440238091428449
녹운탕,1.75,0.4629100498862757
녹차,0.875,0.6408699444616557
농마국수,2.125,0.3535533905932738
농어구이,1.875,0.8345229603962802
누룩,2.25,1.0350983390135313
누룽지,1.125,0.6408699444616557
누룽지탕,1.875,0.3535533905932738
누르미,2.125,0.3535533905932738
누름적,2.5,0.5345224838248488
느티떡,1.625,0.7440238091428449
니기리즈시,2.375,0.5175491695067657
다슬깃국,1.875,0.3535533905932738
다시다,1.75,0.7071067811865476
다시마,0.375,0.5175491695067657
다식,2.5,0.5345224838248488
단감,1.0,1.0690449676496976
단맛감,1.0,1.0690449676496976
단무지,1.875,0.6408699444616557
단물얼음,1.375,1.1877349391654208
단얼음,1.0,1.0690449676496976
단팥빵,3.25,0.4629100498862757
달걀,0.875,0.6408699444616557
달걀국라면,3.5,0.7559289460184544
달걀덮밥,1.875,0.3535533905932738
달걀말이,1.25,0.8864052604279183
달걀밥,0.875,0.6408699444616557
달고나,3.375,0.5175491695067657
달떡,1.625,0.7440238091428449
달팽이떡,1.625,0.7440238091428449
닭가슴살,1.625,0.7440238091428449
닭갈비,3.25,0.4629100498862757
닭강정,4.0,0.0
닭개장,3.125,0.3535533905932738
닭고기,2.25,0.7071067811865476
닭고기덮밥,2.625,0.5175491695067657
닭곰탕,2.0,0.0
닭국수,2.625,0.5175491695067657
닭꼬치,3.0,0.0
닭도리탕,3.25,0.4629100498862757
닭똥집,3.5,0.5345224838248488
닭불고기,3.0,0.0
닭빵,3.125,0.3535533905932738
닭알떡,1.375,1.0606601717798212
닭죽,1.375,0.5175491695067657
닭튀김,4.125,0.3535533905932738
닭한마리,2.625,0.5175491695067657
닭회,2.75,1.0350983390135313
담금소주,4.5,0.9258200997725514
담금주,4.5,0.9258200997725514
당고,2.25,0.4629100498862757
당귀,0.75,0.4629100498862757
당귀떡,1.5,0.7559289460184544
당근,0.375,0.5175491695067657
당근밥,0.5,0.5345224838248488
당면,2.25,0.4629100498862757
당콩떡,1.875,0.8345229603962802
대갱이무침,2.75,0.4629100498862757
대게빵,3.125,0.3535533905932738
대구탕,2.0,0.0
대굿국,2.0,0.0
대두,1.75,1.0350983390135313
대두박,1.625,0.7440238091428449
대추밥,1.25,0.4629100498862757
대통밥,1.125,0.3535533905932738
댑싸리떡,1.625,0.7440238091428449
더덕,0.875,0.6408699444616557
더덕떡,1.5,0.7559289460184544
덮밥,2.25,0.4629100498862757
덮죽,1.625,0.7440238091428449
델리만쥬,3.125,0.3535533905932738
도가니탕,2.625,0.5175491695067657
도너츠,4.0,0.0
도넛,4.0,0.0
도라지,0.875,0.6408699444616557
도리뱅뱅이,2.875,0.3535533905932738
도미면,2.125,0.3535533905932738
도미빵,3.125,0.3535533905932738
도토리떡,1.5,0.7559289460184544
도토리묵,0.75,0.4629100498862757
도토리죽,1.25,0.4629100498862757
돈가스,4.0,0.0
돈가스김밥,4.0,0.0
돈부리,3.0,0.0
돌래떡,1.625,0.7440238091428449
돌솥비빔밥,2.875,0.6408699444616557
돔배기,2.25,0.7071067811865476
동그랑땡,3.5,0.5345224838248488
동동주,4.375,1.1877349391654208
동래파전,3.125,0.3535533905932738
동치미,1.875,0.9910312089651149
동태찌개,2.75,0.4629100498862757
돼지갈비,3.625,0.5175491695067657
돼지고기,3.125,0.3535533905932738
돼지고기김치볶음,3.875,0.3535533905932738
돼지고기덮밥,3.25,0.4629100498862757
돼지국밥,3.375,0.5175491695067657
돼지껍데기,4.0,0.5345224838248488
돼지불고기,3.125,0.3535533905932738
된장,2.125,0.3535533905932738
된장국,2.0,0.5345224838248488
된장찌개,2.25,0.4629100498862757
두구탕,2.0,0.5345224838248488
두루치기,3.125,0.3535533905932738
두릅,0.75,0.4629100498862757
두부,0.5,0.5345224838248488
두부김치,2.375,0.7440238091428449
두부밥,0.625,0.5175491695067657
두부부침,1.875,0.3535533905932738
두부조림,1.75,0.4629100498862757
두족류,2.625,0.5175491695067657
두텁떡,1.75,0.7071067811865476
둥굴레차,0.5,0.5345224838248488
뒷고기,3.25,0.4629100498862757
들깨칼국수,2.5,0.5345224838248488
등심,3.0,0.0
디저트,3.625,0.5175491695067657
따로국밥,2.375,0.5175491695067657
딸기,0.5,0.5345224838248488
딸기빙수,3.5,0.7559289460184544
딸기주스,2.0,0.5345224838248488
땅콩,2.75,0.4629100498862757
땅콩과자,3.625,0.5175491695067657
땅콩죽,2.125,0.3535533905932738
떡,1.625,0.7440238091428449
떡갈비,3.125,0.3535533905932738
떡국,2.125,0.3535533905932738
떡국떡,1.625,0.7440238091428449
떡꼬치,2.75,0.7071067811865476
떡만둣국,2.875,0.3535533905932738
떡볶이,3.375,0.7440238091428449
떡오뎅,3.0,0.0
떡케이크,3.375,0.7440238091428449
떡튀순,4.0,0.5345224838248488
똥집,3.625,0.5175491695067657
뚱카롱,3.875,0.3535533905932738
뜨더국,2.0,0.0
라떼,3.625,0.7440238091428449
라멘,3.625,0.5175491695067657
라면,3.75,0.7071067811865476
라면과자,3.875,0.6408699444616557
라면덮밥,3.75,0.7071067811865476
라면떡볶이,4.125,0.6408699444616557
라면보이,3.75,0.7071067811865476
라면사리,3.75,0.7071067811865476
라면수프,3.75,0.7071067811865476
라면스프,3.75,0.7071067811865476
라볶이,4.0,0.7559289460184544
라이스푸딩,3.0,0.5345224838248488
라조기,3.875,0.3535533905932738
럼,4.625,0.7440238091428449
레몬수,1.625,0.7440238091428449
로메인,0.375,0.5175491695067657
로제떡볶이,4.125,0.6408699444616557
뢰드그뢰드메드플뢰데,2.625,1.1877349391654208
루꼴라,0.5,0.5345224838248488
리소토,3.0,0.5345224838248488
리조또,3.0,0.5345224838248488
리큐르소주,4.625,0.7440238091428449
마가린,3.875,0.3535533905932738
마꽃떡,1.625,0.7440238091428449
마늘,1.875,1.1259916264596033
마늘빵,3.25,0.4629100498862757
마늘족발,4.0,0.0
마늘치킨,3.625,0.5175491695067657
마라떡볶이,4.375,0.5175491695067657
마라룽샤,4.375,0.5175491695067657
마라샹궈,4.375,0.5175491695067657
마라족발,4.375,0.5175491695067657
마라탕,4.375,0.5175491695067657
마르코프차,0.75,0.7071067811865476
마른반찬,2.375,0.5175491695067657
마른안주,3.125,0.8345229603962802
마른오징어,2.75,0.4629100498862757
마멀레이드,2.875,0.3535533905932738
마약옥수수빵,3.75,0.4629100498862757
마요네즈,3.875,0.3535533905932738
마카로니,2.875,0.3535533905932738
마크정식,3.375,0.7440238091428449
마파두부,3.0,0.5345224838248488
막걸리,4.5,0.9258200997725514
막국수,2.625,0.5175491695067657
막대사탕,3.375,0.7440238091428449
막사,3.0,1.6035674514745464
막장,2.625,0.5175491695067657
막찍기,2.5,0.5345224838248488
막창,4.375,0.5175491695067657
만경떡,1.625,0.7440238091428449
만두,3.0,0.5345224838248488
만두국,2.875,0.3535533905932738
만두기,2.875,0.3535533905932738
만둣국,2.875,0.3535533905932738
만쥬,3.0,0.0
맘마,2.125,0.9910312089651149
맘모스빵,3.5,0.5345224838248488
맛탕,3.75,0.4629100498862757
망개떡,1.625,0.7440238091428449
망고빙수,3.625,0.7440238091428449
망고주스,2.125,0.6408699444616557
매생이국,1.5,0.5345224838248488
매실장아찌,2.25,0.8864052604279183
매실주,4.375,1.1877349391654208
매운잡채,3.625,0.5175491695067657
매운탕,3.5,0.5345224838248488
맥적,3.25,0.4629100498862757
맥주,4.5,0.9258200997725514
머스터드,2.375,0.5175491695067657
머스터드소스,2.5,0.5345224838248488
먹거리,2.625,0.7440238091428449
먹장어,2.875,0.3535533905932738
멍게,2.375,0.7440238091428449
멍게비빔밥,2.625,0.5175491695067657
메론빙수,3.625,0.7440238091428449
메밀국수,2.0,0.5345224838248488
메밀떡,1.5,0.7559289460184544
메밀만두,2.625,0.7440238091428449
메밀묵,0.75,0.4629100498862757
메밀밥,1.25,0.4629100498862757
메밀소주,4.5,0.9258200997725514
메밀전,2.5,0.7559289460184544
메밀차,0.5,0.5345224838248488
메싹떡,1.625,0.7440238091428449
면발,2.0,0.5345224838248488
멸치볶음,2.0,0.0
멸치젓,2.875,0.9910312089651149
명란젓,3.125,0.8345229603962802
명이나물,1.0,0.7559289460184544
명태,1.75,0.7071067811865476
모과차,0.5,0.5345224838248488
모과탕,1.625,0.5175491695067657
모리국수,2.25,0.4629100498862757
모시떡,1.625,0.7440238091428449
모주,4.375,1.1877349391654208
모찌,2.25,0.4629100498862757
목살,3.25,0.4629100498862757
몸국,2.0,0.5345224838248488
못난이만두,3.0,0.5345224838248488
무국,1.0,0.0
무생채,1.75,0.7071067811865476
무술당,2.875,0.3535533905932738
무지개떡,1.875,0.8345229603962802
무침회,2.625,0.5175491695067657
무화과,1.125,1.1259916264596033
묵,0.75,0.4629100498862757
묵국,1.375,0.5175491695067657
묵국수,1.625,0.5175491695067657
묵밥,1.125,0.3535533905932738
묵사발,1.25,0.4629100498862757
묵은지,2.5,0.5345224838248488
문동죽,1.375,0.5175491695067657
문어빵,3.125,0.3535533905932738
물김치,1.875,0.9910312089651149
물냉면,2.5,0.7559289460184544
물떡,1.75,0.7071067811865476
물만두,2.75,0.4629100498862757
물만밥,1.125,0.3535533905932738
물짜장,2.875,0.6408699444616557
물회,2.625,0.5175491695067657
뭇국,1.0,0.0
미나리,0.375,0.5175491695067657
미수,1.75,0.7071067811865476
미숫가루,1.875,0.6408699444616557
미역,0.375,0.5175491695067657
미역국,1.0,0.0
미역줄기볶음,1.25,0.4629100498862757
미음,1.0,0.0
민어,1.75,0.7071067811865476
민어회,2.25,0.7071067811865476
민초,3.625,0.7440238091428449
민트초코,3.75,0.4629100498862757
밀가루,2.25,0.4629100498862757
밀국수,2.125,0.3535533905932738
밀기울떡,1.375,1.0606601717798212
밀면,2.5,0.5345224838248488
밀밥,1.5,0.7559289460184544
밀소주,4.5,0.9258200997725514
밀크커피,3.625,0.7440238091428449
바게트,2.75,0.4629100498862757
바나나,0.375,0.5175491695067657
바나나떡,1.5,0.7559289460184544
바나나빵,2.75,0.4629100498862757
바나나주스,1.875,0.6408699444616557
바비큐,4.0,0.0
바삭과자,3.625,0.5175491695067657
바지락칼국수,2.5,0.5345224838248488
박고지,1.625,0.5175491695067657
박대묵,1.125,0.3535533905932738
박하사탕,2.875,1.246423454758225
반미,3.125,0.3535533905932738
반찬,1.875,0.3535533905932738
밤과자,3.25,0.7071067811865476
밤떡,1.625,0.7440238091428449
밤밥,1.25,0.4629100498862757
밤죽,1.375,0.5175491695067657
밥,0.5,0.5345224838248488
밥감주,3.625,1.5059406173077154
밥버거,3.375,0.5175491695067657
방풍죽,1.125,0.3535533905932738
배,0.875,1.1259916264596033
배스킨라빈스,4.0,0.5345224838248488
배추,0.5,0.7559289460184544
배추김치,2.375,0.7440238091428449
배추속댓국,1.5,0.5345224838248488
배추전,2.25,0.4629100498862757
배춧국,1.375,0.5175491695067657
배피떡,1.625,0.7440238091428449
백김치,1.875,0.9910312089651149
백반,1.25,0.4629100498862757
백설기,2.0,0.5345224838248488
백설기빵,2.875,0.3535533905932738
백설탕,3.0,0.5345224838248488
백숙,1.875,0.3535533905932738
백엽다,2.25,0.7071067811865476
백포도주,4.5,0.9258200997725514
밴댕이젓,2.875,0.9910312089651149
버섯,0.75,0.7071067811865476
버터콘,3.5,0.5345224838248488
베이컨,4.0,0.0
변씨만두,2.875,0.3535533905932738
병시만두,2.75,0.4629100498862757
보드카,4.625,0.7440238091428449
보르시,2.375,0.5175491695067657
보리,1.25,0.7071067811865476
보리떡,1.5,0.7559289460184544
보리밥,1.125,0.3535533905932738
보리소주,4.5,0.9258200997725514
보리차,0.5,0.5345224838248488
보릿가루,1.375,0.7440238091428449
보말국,1.875,0.3535533905932738
보신탕,3.625,0.5175491695067657
보쌈,3.125,0.6408699444616557
보쌈김치,2.625,0.5175491695067657
복령떡,1.5,0.7559289460184544
복분자주,4.5,0.9258200997725514
복숭아,0.875,1.1259916264596033
복숭아떡,1.625,0.7440238091428449
복어,2.75,1.164964745021435
복족류,2.625,0.5175491695067657
볶음,3.0,0.0
볶음김치,3.0,0.5345224838248488
볶음라면,4.0,0.7559289460184544
볶음면,3.25,0.4629100498862757
볶음밥,3.125,0.6408699444616557
볶음짬뽕,4.125,0.6408699444616557
봄나물,0.75,0.4629100498862757
봉수탕,1.875,0.3535533905932738
봉지라면,3.75,0.7071067811865476
봉치떡,1.625,0.7440238091428449
부각,3.125,0.6408699444616557
부꾸미,2.75,0.4629100498862757
부대찌개,3.5,0.7559289460184544
부대찌개라면,4.125,0.6408699444616557
부추,0.875,0.6408699444616557
부추김치,2.375,0.7440238091428449
부추전,2.375,0.5175491695067657
부침개,3.0,0.0
북어,1.875,0.3535533905932738
북엇국,1.75,0.4629100498862757
분식,3.25,0.4629100498862757
분유,4.0,0.5345224838248488
분탕,2.125,0.3535533905932738
불고기,3.0,0.0
불고기김밥,3.125,0.3535533905932738
불고기버거,4.0,0.0
불닭,4.375,0.5175491695067657
붕어빵,3.25,0.4629100498862757
붕장어,2.625,0.5175491695067657
브랜디,4.625,0.7440238091428449
블랙커피,3.25,1.2817398889233114
비닐밥,1.625,0.7440238091428449
비르야니,3.125,0.3535533905932738
비빔,2.75,0.4629100498862757
비빔국수,3.0,0.5345224838248488
비빔냉면,3.0,0.5345224838248488
비빔당면,3.0,0.5345224838248488
비빔면,3.0,0.5345224838248488
비빔밥,2.5,0.7559289460184544
비지떡,1.5,0.7559289460184544
비지밥,1.25,0.4629100498862757
비지죽,1.25,0.4629100498862757
비지찌개,2.0,0.5345224838248488
빈대떡,3.125,0.3535533905932738
빙떡,2.125,0.3535533905932738
빙수,3.625,0.7440238091428449
빙어,2.25,0.7071067811865476
빠다,3.25,0.7071067811865476
빵,2.875,0.3535533905932738
빼때기죽,1.375,0.5175491695067657
뻥튀기,2.625,0.7440238091428449
뼈다귀해장국,3.25,0.4629100498862757
뽀글이,3.0,0.5345224838248488
삐짜,4.0,0.0
사골,2.25,0.4629100498862757
사골국,2.25,0.4629100498862757
사과,0.875,1.1259916264596033
사과주스,2.125,0.6408699444616557
사발면,3.75,0.7071067811865476
사슬적,2.5,1.0690449676496976
사시미,2.0,0.5345224838248488
사이다,3.625,0.7440238091428449
사절주,4.5,0.9258200997725514
사찰식피자,3.375,0.5175491695067657
사천짜장,3.75,0.7071067811865476
사탕,3.375,0.7440238091428449
사탕가루,3.375,0.7440238091428449
산낙지,2.5,0.9258200997725514
산마이니쿠동,2.75,1.164964745021435
산삼,0.625,0.5175491695067657
산약죽,1.25,0.4629100498862757
산채비빔밥,2.0,0.9258200997725514
살구떡,1.625,0.7440238091428449
삶은계란,0.875,0.6408699444616557
삶은달걀,0.875,0.6408699444616557
삼각김밥,2.25,0.4629100498862757
삼겹살,3.75,0.7071067811865476
삼겹살구이,3.75,0.7071067811865476
삼계탕,2.125,0.3535533905932738
삼두음,1.75,0.8864052604279183
삼선볶음밥,3.25,0.4629100498862757
삼선짜장,3.625,0.7440238091428449
삼정과,2.75,0.4629100498862757
삼치구이,1.875,0.8345229603962802
삼합,3.25,0.4629100498862757
삼합미음,1.5,0.5345224838248488
상어,2.5,0.5345224838248488
상이죽,1.25,0.4629100498862757
상추,0.375,0.5175491695067657
상추겉절이,1.875,1.1259916264596033
상추떡,1.5,0.7559289460184544
상추튀김,3.75,0.4629100498862757
상화병,2.125,0.9910312089651149
새미떡,1.625,0.7440238091428449
새싹비빔밥,2.0,0.9258200997725514
새우만두,2.75,0.4629100498862757
새우장,3.0,0.9258200997725514
새우젓,3.0,0.9258200997725514
새우탕,2.75,0.4629100498862757
새우튀김,4.125,0.3535533905932738
샌드위치,3.0,0.0
샐러드,0.75,0.4629100498862757
생강떡,1.25,1.0350983390135313
생강주,4.375,1.1877349391654208
생강즙,1.125,0.8345229603962802
생강차,0.5,0.5345224838248488
생과자,3.375,0.5175491695067657
생김치,2.375,0.7440238091428449
생라면,3.75,0.7071067811865476
생마늘,2.75,1.0350983390135313
생맥산,2.375,1.1877349391654208
생맥주,4.5,0.9258200997725514
생선,1.625,0.5175491695067657
생선가스,3.75,0.4629100498862757
생선묵,1.125,0.8345229603962802
생선전,3.0,0.0
생선회,2.25,0.7071067811865476
생양파,2.25,0.8864052604279183
생채,1.375,0.5175491695067657
생크림꽈배기,4.25,0.4629100498862757
생황장,2.375,0.7440238091428449
샤실리크,2.75,1.164964745021435
샴팡,4.5,0.9258200997725514
샴페인,4.5,0.9258200997725514
서거리젓,2.875,0.9910312089651149
서대회무침,2.75,0.4629100498862757
서더리탕,2.25,0.4629100498862757
서속떡,1.625,0.7440238091428449
서여죽,1.25,0.4629100498862757
석이편,1.75,0.7071067811865476
석탄병,2.0,1.0690449676496976
선산곱창,4.375,0.5175491695067657
선인죽,1.25,0.4629100498862757
선지국,3.0,0.0
선짓국,3.0,0.0
설고,2.5,0.7559289460184544
설고빵,3.0,0.5345224838248488
설기과자,3.125,0.8345229603962802
설기빵,2.875,0.3535533905932738
설렁탕,2.25,0.4629100498862757
설탕,3.125,0.8345229603962802
설탕국수,3.25,0.8864052604279183
섭산삼,1.0,0.9258200997725514
섭산적,2.5,1.0690449676496976
성게,2.5,0.5345224838248488
세꼬시,2.25,0.7071067811865476
셔벗,3.5,0.7559289460184544
셰리,4.5,0.9258200997725514
셰이크,3.875,0.6408699444616557
소갈비,3.625,0.5175491695067657
소고기,3.0,0.0
소고기덮밥,3.0,0.0
소금,1.25,0.4629100498862757
소떡소떡,3.875,0.6408699444616557
소만두,2.875,0.3535533905932738
소맥,4.625,0.7440238091428449
소머리국밥,3.25,0.4629100498862757
소면,2.0,0.5345224838248488
소불고기,3.0,0.0
소세지,4.0,0.0
소시지,4.0,0.0
소시지야채볶음,3.875,0.3535533905932738
소젖,4.0,0.5345224838248488
소주,4.5,0.9258200997725514
소주온미,4.125,1.246423454758225
소행죽,1.25,0.4629100498862757
솎음배춧국,1.375,0.5175491695067657
손자장,3.125,0.8345229603962802
손짜장,3.125,0.8345229603962802
솔방울떡,1.625,0.7440238091428449
송기떡,1.625,0.7440238091428449
송어,1.875,0.3535533905932738
송편,2.0,0.5345224838248488
송화다식,2.25,0.4629100498862757
송화밀수,2.375,1.0606601717798212
쇠고기,3.0,0.0
쇠고기덮밥,3.0,0.0
쇠고깃국,2.125,0.3535533905932738
수구레,3.25,0.4629100498862757
수구레국밥,3.25,0.4629100498862757
수란,0.875,0.6408699444616557
수란채,1.5,0.5345224838248488
수문탕,2.0,0.0
수박주스,2.0,0.5345224838248488
수수밥,1.125,0.3535533905932738
수수소주,4.5,0.9258200997725514
수육,3.0,0.5345224838248488
수정과,1.875,0.6408699444616557
수제비,2.125,0.3535533905932738
