id,name,category,description,created_at,updated_at
169,GLUTEN_FREE,,계란 자체는 글루텐이 없음,2025-11-21 21:30:51.540858,2025-11-21 21:30:51.540859
205,SMOKEY,FLAVOR,훈제 맛,2025-11-21 21:31:32.397108,2025-11-21 21:31:32.397109
234,DRIED,COOKING_METHOD,건조된 형태,2025-11-21 21:32:13.135704,2025-11-21 21:32:13.135705
240,FERMENTED,COOKING_METHOD,발효 과정,2025-11-21 21:32:13.135715,2025-11-21 21:32:13.135716
263,VEGETARIAN,DIETARY,채식주의자용,2025-11-21 21:32:38.247970,2025-11-21 21:32:38.247971
301,STEWED,COOKING_METHOD,조림,2025-11-21 21:33:29.653446,2025-11-21 21:33:29.653446
334,FLOWER,INGREDIENT,꽃(국화),2025-11-21 21:34:08.995401,2025-11-21 21:34:08.995402
335,ROASTED,COOKING_METHOD,구움,2025-11-21 21:34:08.995402,2025-11-21 21:34:08.995403
347,BRINY,FLAVOR,짭짤한 맛,2025-11-21 21:34:22.199506,2025-11-21 21:34:22.199506
355,NUTRITIENT,NUTRIENT,높은 섬유질과 단백질 함량,2025-11-21 21:34:36.618187,2025-11-21 21:34:36.618187
389,SEAFOD,INGREDIENT,해조류,2025-11-21 21:35:17.987994,2025-11-21 21:35:17.987994
409,INGREDIENT,INGREDIENT,"주재료(김치, 밥, 김 등)",2025-11-21 21:35:48.300414,2025-11-21 21:35:48.300415
424,SLOW_COOKED,COOKING_METHOD,슬로우 쿡,2025-11-21 21:36:17.597635,2025-11-21 21:36:17.597635
425,COMBINATION,FLAVOR,복합적인 맛,2025-11-21 21:36:17.597637,2025-11-21 21:36:17.597637
489,HIGH_FIBER,NUTRIENT,높은 섬유질,2025-11-21 21:37:36.629906,2025-11-21 21:37:36.629907
522,HIGH_NUTRITIONAL_VALUE,NUTRIENT,영양가가 높음,2025-11-21 21:38:27.942818,2025-11-21 21:38:27.942818
533,CREAMY,FLAVOR,부드러운 맛,2025-11-21 21:38:27.942837,2025-11-21 21:38:27.942838
534,SOYBEANS,INGREDIENT,콩,2025-11-21 21:38:27.942838,2025-11-21 21:38:27.942839
604,COOKING_METHOD,COOKING_METHOD,캐러멜화,2025-11-21 21:40:03.074991,2025-11-21 21:40:03.074992
678,LEGUME,INGREDIENT,콩류(대두),2025-11-21 21:41:41.986919,2025-11-21 21:41:41.986920
688,DIETARY,DIETARY,글루텐 프리,2025-11-21 21:41:58.989879,2025-11-21 21:41:58.989880
736,HIGH_FAT,NUTRIENT,고지방,2025-11-21 21:42:46.381142,2025-11-21 21:42:46.381143
751,ALCOHOLIC,DIETARY,알코올 음료,2025-11-21 21:43:15.688248,2025-11-21 21:43:15.688248
781,SOY,INGREDIENT,콩 기반 제품,2025-11-21 21:44:08.609914,2025-11-21 21:44:08.609915
786,HERBAL,FLAVOR,허브 차의 풍미,2025-11-21 21:44:08.609924,2025-11-21 21:44:08.609925
827,HIGH_CARB,NUTRIENT,높은 탄수화물 함량,2025-11-21 21:45:18.825851,2025-11-21 21:45:18.825852
843,HIGH_SALT,NUTRIENT,높은 나트륨 함량,2025-11-21 21:45:36.504355,2025-11-21 21:45:36.504355
851,HIGH_SUGAR,NUTRIENT,높은 당분 함유,2025-11-21 21:45:36.504367,2025-11-21 21:45:36.504367
858,HIGH_CALORIE,NUTRIENT,높은 열량,2025-11-21 21:45:36.504379,2025-11-21 21:45:36.504380
920,STIR_FRIED,COOKING_METHOD,볶음 요리,2025-11-21 21:46:51.389964,2025-11-21 21:46:51.389964
945,EMULSION,COOKING_METHOD,유화,2025-11-21 21:47:19.412726,2025-11-21 21:47:19.412727
955,SOYbeans,INGREDIENT,콩류,2025-11-21 21:47:33.966684,2025-11-21 21:47:33.966685
961,SNACK,COOKING_METHOD,간식,2025-11-21 21:47:33.966695,2025-11-21 21:47:33.966696
1010,SAUCY,FLAVOR,소스의 질감,2025-11-21 21:48:33.299609,2025-11-21 21:48:33.299610
1179,COOLING,FLAVOR,시원한 맛,2025-11-21 21:52:14.667463,2025-11-21 21:52:14.667464
1205,ICE CREAM,INGREDIENT,아이스크림 브랜드,2025-11-21 21:52:55.859103,2025-11-21 21:52:55.859104
1221,VARIED,INGREDIENT,다양한 반찬과 밥이 함께 제공됨,2025-11-21 21:53:10.427463,2025-11-21 21:53:10.427464
1248,HIGH_ALCOHOL,NUTRIENT,알코올 도수 높음,2025-11-21 21:53:50.160378,2025-11-21 21:53:50.160378
1257,DISTILLED,COOKING_METHOD,증류주 제조방법,2025-11-21 21:54:06.543380,2025-11-21 21:54:06.543380
1259,NUTRITIOUS,FLAVOR,영양가 있는 맛,2025-11-21 21:54:06.543384,2025-11-21 21:54:06.543385
1355,BEANS,INGREDIENT,콩을 주재료로 함,2025-11-21 21:56:39.329177,2025-11-21 21:56:39.329178
1516,FRUITY,FLAVOR,과일향,2025-11-21 22:00:17.187398,2025-11-21 22:00:17.187399
1517,SPARKLING,NUTRIENT,탄산음료,2025-11-21 22:00:17.187400,2025-11-21 22:00:17.187401
1568,MILK_BASED,INGREDIENT,우유 기반,2025-11-21 22:01:26.127585,2025-11-21 22:01:26.127586
1640,EGG,INGREDIENT,계란,2025-11-21 22:03:00.255384,2025-11-21 22:03:00.255384
1694,SOYbean,INGREDIENT,"콩 제품(된장, 간장 등)",2025-11-21 22:04:03.103686,2025-11-21 22:04:03.103687
1783,STARCHY,FLAVOR,끈적한 질감,2025-11-21 22:05:59.396881,2025-11-21 22:05:59.396882
1804,NUTRITIONAL,NUTRIENT,약재와 함께 끓인 탕으로 건강에 좋음,2025-11-21 22:06:23.443179,2025-11-21 22:06:23.443179
1903,BREWED,COOKING_METHOD,발효주,2025-11-21 22:08:43.286689,2025-11-21 22:08:43.286690
1962,MILKY,FLAVOR,우유의 부드러운 맛,2025-11-21 22:09:59.129584,2025-11-21 22:09:59.129585
2061,SUGAR,INGREDIENT,설탕,2025-11-21 22:12:05.804133,2025-11-21 22:12:05.804133
2108,HIGH_NUTRIENT,NUTRIENT,영양가가 높음,2025-11-21 22:13:14.699946,2025-11-21 22:13:14.699947
2159,STRAINED,COOKING_METHOD,졸이기,2025-11-21 22:14:07.344140,2025-11-21 22:14:07.344141
2186,NUT,INGREDIENT,견과류,2025-11-21 22:14:45.708192,2025-11-21 22:14:45.708192
2214,TEA_LEAF,INGREDIENT,차잎,2025-11-21 22:15:15.039769,2025-11-21 22:15:15.039770
2292,LOW_FAT,NUTRIENT,저지방,2025-11-21 22:16:57.085576,2025-11-21 22:16:57.085577
2351,SALT,INGREDIENT,소금,2025-11-21 22:18:00.923864,2025-11-21 22:18:00.923865
2352,FLAVOR_ENHANCER,INGREDIENT,향미 증진제,2025-11-21 22:18:00.923866,2025-11-21 22:18:00.923867
2493,OIL,INGREDIENT,식용유,2025-11-21 22:20:52.604192,2025-11-21 22:20:52.604193
2540,Noodles,INGREDIENT,면류,2025-11-21 22:21:51.499829,2025-11-21 22:21:51.499830
2547,TEA_LEAVES,INGREDIENT,차잎,2025-11-21 22:21:51.499843,2025-11-21 22:21:51.499844
2647,NUTRITION,NUTRIENT,카페인 함유,2025-11-21 22:23:57.744161,2025-11-21 22:23:57.744162
2671,DARK_CHOCOLATE,INGREDIENT,다크 초콜릿 원료,2025-11-21 22:24:25.385101,2025-11-21 22:24:25.385101
2682,Bitter,FLAVOR,쓴맛,2025-11-21 22:24:38.090480,2025-11-21 22:24:38.090480
2725,BUTTERY,FLAVOR,버터 풍미,2025-11-21 22:25:32.451036,2025-11-21 22:25:32.451037
2738,TART,FLAVOR,새콤한 맛,2025-11-21 22:25:47.928336,2025-11-21 22:25:47.928337
2752,BOTTLED,COOKING_METHOD,병 음료,2025-11-21 22:26:14.038462,2025-11-21 22:26:14.038463
2784,TOASTED,FLAVOR,구운 맛,2025-11-21 22:26:42.445629,2025-11-21 22:26:42.445629
2954,Fried,COOKING_METHOD,튀김,2025-11-21 22:30:03.247830,2025-11-21 22:30:03.247831
3003,HERB,INGREDIENT,허브,2025-11-21 22:31:19.303048,2025-11-21 22:31:19.303048
3093,BEER,INGREDIENT,맥주,2025-11-21 22:33:22.689902,2025-11-21 22:33:22.689903
3100,SEEDS,INGREDIENT,씨앗류,2025-11-21 22:33:22.689915,2025-11-21 22:33:22.689915
